interpro_acc	interpro_desc	hit_rows	unique_proteins
IPR028748	Cation channel sperm-associated auxiliary subunit beta	2	2
IPR028846	Recoverin family	2	2
IPR028882	Succinate dehydrogenase assembly factor 2, mitochondrial	2	2
IPR028884	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit	2	2
IPR028896	Aminomethyltransferase-like	2	2
IPR028945	Get1 family	2	2
IPR029004	Ribosomal eL28/Mak16	2	2
IPR029023	Tensin-type phosphatase domain	2	2
IPR029032	AhpD-like	2	2
IPR029043	Glycine cleavage T-protein/YgfZ, C-terminal	2	2
IPR029123	Splicing factor RBM39, linker	2	2
IPR029191	Up-regulated during septation protein 1	2	2
IPR029209	DML1/Misato, tubulin domain	2	2
IPR029324	Mitochondrial apoptosis-inducing factor, C-terminal domain	2	2
IPR029344	Histone RNA hairpin-binding protein, RNA-binding domain	2	2
IPR029346	Ubiquitin carboxyl-terminal hydrolase, C-terminal	2	2
IPR029377	TMEM220 protein	2	2
IPR029446	Coatomer beta subunit, appendage platform domain	2	2
IPR029448	Fanconi anaemia protein FANCD2	2	2
IPR029453	Rapamycin-insensitive companion of mTOR, domain 4	2	2
IPR029459	Elongation factor Tu-type domain	2	2
IPR029499	Corrinoid adenosyltransferase, PduO-type	2	2
IPR029600	Intraflagellar transport protein 81	2	2
IPR029602	Intraflagellar transport protein 74	2	2
IPR029617	Lid2 complex component Snt2	2	2
IPR029752	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1	2	2
IPR029765	Diphosphomevalonate decarboxylase	2	2
IPR029775	NPH4	2	2
IPR030125	SPIN90/Ldb17	2	2
IPR030225	Sterol regulatory element-binding protein cleavage-activating protein	2	2
IPR030230	GPN-loop GTPase 1	2	2
IPR030231	GPN-loop GTPase 2	2	2
IPR030382	SAM-dependent methyltransferase TRM5/TYW2-type	2	2
IPR030387	Bms1/Tsr1-type G domain	2	2
IPR030445	Histone H3-K79 methyltransferase	2	2
IPR030456	Fork head domain conserved site 2	2	2
IPR030470	UbiA prenyltransferase conserved site	2	2
IPR030484	Serine/threonine-protein kinase Rio2	2	2
IPR030491	TATA-box binding protein, conserved site	2	2
IPR030547	DNA repair protein XRCC2	2	2
IPR030564	Myotubularin	2	2
IPR030656	Delta-aminolevulinic acid dehydratase, active site	2	2
IPR030662	Diphthine--ammonia ligase/Uncharacterised protein MJ0570	2	2
IPR030700	N-end rule aminoacyl transferase	2	2
IPR030847	Mitochondrial glycine transporter Hem25/SLC25A38	2	2
IPR031099	BRCA1-associated	2	2
IPR031101	RNA polymerase-associated protein Ctr9	2	2
IPR031107	Small heat shock protein	2	2
IPR031139	RPGRIP1 family	2	2
IPR031142	SPX domain-containing protein	2	2
IPR031168	TrmE-type guanine nucleotide-binding domain	2	2
IPR031313	SAPK-interacting protein 1, Pleckstrin-homology domain	2	2
IPR031335	Glycosyl hydrolase family 63, C-terminal	2	2
IPR031537	Protein of unknown function DUF5092	2	2
IPR031545	Signal recognition particle subunit SRP72, TPR-like repeat	2	2
IPR031567	Sin1, middle CRIM domain	2	2
IPR031657	Replication protein A, OB domain	2	2
IPR031686	ATPsynthase alpha/beta subunit, barrel-sandwich domain	2	2
IPR031691	Lipoyl synthase, N-terminal	2	2
IPR031774	SF3A3 domain	2	2
IPR031794	Hyaluronan-mediated motility receptor, C-terminal	2	2
IPR031991	DNA repair protein Rev1, C-terminal	2	2
IPR032042	Protection of telomeres protein 1, ssDNA-binding domain	2	2
IPR032088	Starter unit:ACP transacylase, SAT domain	2	2
IPR032191	CCR4-NOT transcription complex subunit 1, CAF1-binding domain	2	2
IPR032193	CCR4-NOT transcription complex subunit 1, TTP binding domain	2	2
IPR032194	CCR4-NOT transcription complex subunit 1, HEAT repeat	2	2
IPR032263	ATP-citrate synthase, citrate-binding domain	2	2
IPR032270	AMPK, C-terminal adenylate sensor domain	2	2
IPR032297	Torus domain	2	2
IPR032319	Clp1, P-loop domain	2	2
IPR032353	Ubiquitin-protein ligase E3A, N-terminal zinc-binding domain	2	2
IPR032376	Dedicator of cytokinesis, N-terminal domain	2	2
IPR032396	Spindle assembly abnormal protein 6, N-terminal	2	2
IPR032403	Exocyst component Exo84, C-terminal	2	2
IPR032405	Kinesin-associated	2	2
IPR032416	Peptidase M24, C-terminal domain	2	2
IPR032418	Ubiquitin-activating enzyme E1, FCCH domain	2	2
IPR032432	Radical SAM, C-terminal extension	2	2
IPR032436	URB1, C-terminal domain	2	2
IPR032440	Small ribosomal subunit protein uS17, N-terminal	2	2
IPR032442	Cytoplasmic tRNA 2-thiolation protein 1, C-terminal	2	2
IPR032460	Symplekin/Pta1, N-terminal	2	2
IPR032465	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	2	2
IPR032628	Adenylate cyclase, N-terminal	2	2
IPR032672	TmcA/NAT10/Kre33	2	2
IPR032677	GTP cyclohydrolase II	2	2
IPR032697	Squalene cyclase, N-terminal	2	2
IPR032752	DC-UbP/UBTD2, N-terminal domain	2	2
IPR032777	Domain of unknown function DUF4515	2	2
IPR032817	Mon2, C-terminal	2	2
IPR032819	tRNA pseudouridylate synthase B, C-terminal	2	2
IPR032828	tRNA nucleotidyltransferase/poly(A) polymerase, RNA and SrmB- binding domain	2	2
IPR032830	Helicase XPB/Ssl2, N-terminal domain	2	2
IPR032838	VWA-Hint protein, Vwaint domain	2	2
IPR032857	Alpha-ketoglutarate-dependent dioxygenase alkB homologue 4	2	2
IPR032870	Alpha-ketoglutarate-dependent dioxygenase alkB homologue 7-like	2	2
IPR033031	Scc2/Nipped-B family	2	2
IPR033100	Exosome complex component RRP45	2	2
IPR033120	Hotdog acyl-CoA thioesterase (ACOT)-type domain	2	2
IPR033128	Adenylosuccinate synthase, active site	2	2
IPR033140	Lipase, GDXG, putative serine active site	2	2
IPR033162	Tubulin-folding cofactor D	2	2
IPR033177	Phosphatidylserine decarboxylase, bacterial/eukaryotic	2	2
IPR033196	Exosome complex component Rrp43	2	2
IPR033199	Dimethylarginine dimethylaminohydrolase-like	2	2
IPR033228	Protein SZT2	2	2
IPR033253	Cilia- and flagella-associated protein 45	2	2
IPR033304	Deleted in lung and esophageal cancer protein 1	2	2
IPR033310	Mms4/EME1/EME2	2	2
IPR033332	BTG family	2	2
IPR033351	Centrosomal protein POC5	2	2
IPR033362	SSNA1 family	2	2
IPR033391	Fructose-1-6-bisphosphatase class I, N-terminal	2	2
IPR033394	Svf1-like, C-terminal	2	2
IPR033421	Rit1, DUSP-like domain	2	2
IPR033449	Rit1, N-terminal domain	2	2
IPR033464	CSN8/PSMD8/EIF3K	2	2
IPR033468	Metaxin, glutathione S-transferase domain	2	2
IPR033511	Rho guanine nucleotide exchange factor Cdc24/Scd1, PH domain	2	2
IPR033551	Dynein regulatory complex subunit 7	2	2
IPR033558	Intraflagellar transport protein 25	2	2
IPR033644	Ferrochelatase, C-terminal	2	2
IPR033650	Large ribosomal subunit protein mL46, NUDIX domain	2	2
IPR033688	RNA cytidine acetyltransferase NAT10	2	2
IPR033705	Valyl tRNA synthetase, anticodon-binding domain	2	2
IPR033710	TATA-box binding protein, eukaryotic	2	2
IPR033720	Elongation factor Tu, domain 2	2	2
IPR033744	RBM8, RNA recognition motif	2	2
IPR033747	Class I PurE	2	2
IPR033770	Exosome complex exonuclease RRP44, S1 domain	2	2
IPR033771	Rrp44-like cold shock domain	2	2
IPR033811	Proteasome beta 3 subunit	2	2
IPR033828	CTP synthase GATase domain	2	2
IPR033898	DNA-directed RNA polymerases I and III subunit AC19	2	2
IPR033910	Glutamyl-tRNA synthetase	2	2
IPR033917	ML domain, phosphatidylinositol/phosphatidylglycerol transfer protein	2	2
IPR033932	YtcJ like	2	2
IPR033940	3-isopropylmalate dehydratase, swivel domain	2	2
IPR033947	Electron transfer flavoprotein, alpha subunit, N-terminal	2	2
IPR034014	Pol III subunit C11, C-terminal zinc ribbon	2	2
IPR034015	Aminopeptidase, leukotriene A4 hydrolase-like	2	2
IPR034104	Sm-like protein Lsm1	2	2
IPR034143	snRNP70, RNA recognition motif	2	2
IPR034148	NCBP2, RNA recognition motif	2	2
IPR034157	DNA topoisomerase 2, TOPRIM domain	2	2
IPR034158	SF3B4, RNA recognition motif 1	2	2
IPR034168	Peptidyl-prolyl cis-trans isomerase E, RNA recognition motif	2	2
IPR034181	Pre-mRNA-splicing factor Cwc2, RNA recognition motif	2	2
IPR034183	Isovaleryl-CoA dehydrogenase	2	2
IPR034215	RBM42, RNA recognition motif	2	2
IPR034221	RBM34, RNA recognition motif 2	2	2
IPR034240	eIF3G, RNA recognition motif	2	2
IPR034363	eIF3B, RNA recognition motif	2	2
IPR034505	Anaerobic coproporphyrinogen-III oxidase	2	2
IPR034751	Yippee domain	2	2
IPR034752	Mis18 domain	2	2
IPR034772	CPSF6/7	2	2
IPR035090	Phosphorylase pyridoxal-phosphate attachment site	2	2
IPR035102	Phosphomevalonate kinase	2	2
IPR035144	Proteasome subunit alpha 1	2	2
IPR035206	Proteasome subunit beta 2	2	2
IPR035269	26S Proteasome non-ATPase regulatory subunit 9	2	2
IPR035298	26S Proteasome non-ATPase regulatory subunit 13	2	2
IPR035370	Nrap protein, domain 5	2	2
IPR035371	Nrap protein, domain 6	2	2
IPR035400	Urocanase, N-terminal domain	2	2
IPR035401	Urocanase, C-terminal domain	2	2
IPR035417	FACT complex subunit SSRP1/POB3, N-terminal PH domain	2	2
IPR035426	Gemin2/Brr1	2	2
IPR035433	NFU1-like	2	2
IPR035448	Phosphoinositide 3-kinase, catalytic domain	2	2
IPR035466	GlmS/AgaS, SIS domain 1	2	2
IPR035476	Phosphoglucose isomerase, SIS domain 1	2	2
IPR035482	Phosphoglucose isomerase, SIS domain 2	2	2
IPR035490	GlmS/FrlB, SIS domain 2	2	2
IPR035538	PPIL4-like, cyclophilin domain	2	2
IPR035542	Cyclophilin-RNA interacting protein	2	2
IPR035654	Elongation factor 4, domain IV	2	2
IPR035680	Hydroxyacylglutathione hydrolase, MBL domain	2	2
IPR035684	Arginyl-tRNA synthetase, catalytic core domain	2	2
IPR035812	Methylenetetrahydrofolate dehydrogenase, NAD-binding domain	2	2
IPR035963	FERM superfamily, second domain	2	2
IPR035970	Large ribosomal subunit protein eL19 superfamily	2	2
IPR035977	Large ribosomal subunit protein bL36 superfamily	2	2
IPR035990	Triosephosphate isomerase superfamily	2	2
IPR036046	Acylphosphatase-like domain superfamily	2	2
IPR036053	PABC (PABP) domain	2	2
IPR036071	AMMECR1 domain superfamily	2	2
IPR036075	Damage-control phosphatase ARMT1-like, metal-binding domain superfamily	2	2
IPR036079	V-type ATP synthase subunit C/D subunit superfamily	2	2
IPR036081	Translin superfamily	2	2
IPR036126	Tubulin binding cofactor A superfamily	2	2
IPR036133	EB1, C-terminal domain superfamily	2	2
IPR036152	Asparaginase/glutaminase-like superfamily	2	2
IPR036164	Large ribosomal subunit protein bL21-like superfamily	2	2
IPR036167	tRNA intron endonuclease, catalytic domain-like superfamily	2	2
IPR036181	MIT domain superfamily	2	2
IPR036206	Thiamin phosphate synthase superfamily	2	2
IPR036223	Adenylate cyclase-associated CAP, C-terminal superfamily	2	2
IPR036263	Chorismate mutase type II superfamily	2	2
IPR036274	HR1 repeat superfamily	2	2
IPR036315	BRCA2 helical domain superfamily	2	2
IPR036318	FAD-binding, type PCMH-like superfamily	2	2
IPR036351	Large ribosomal subunit protein eL32 superfamily	2	2
IPR036358	Beta-trefoil domain superfamily	2	2
IPR036371	Thiamin pyrophosphokinase, thiamin-binding domain superfamily	2	2
IPR036477	Formyl transferase, N-terminal domain superfamily	2	2
IPR036531	Rabenosyn, Rab binding domain superfamily	2	2
IPR036533	BAG domain superfamily	2	2
IPR036543	Guanylate-binding protein, C-terminal domain superfamily	2	2
IPR036604	Phosphoribosylformylglycinamidine synthase subunit PurS-like superfamily	2	2
IPR036607	Glucosidase 2 subunit beta-like	2	2
IPR036627	CobW-like, C-terminal domain superfamily	2	2
IPR036723	Alpha-catenin/vinculin-like superfamily	2	2
IPR036791	Large ribosomal subunit protein bL9, C-terminal domain superfamily	2	2
IPR036844	Hint domain superfamily	2	2
IPR036935	Large ribosomal subunit protein bL9, N-terminal domain superfamily	2	2
IPR036948	Large ribosomal subunit protein eL21 superfamily	2	2
IPR036956	Impact, N-terminal domain superfamily	2	2
IPR036957	Zinc finger, PARP-type superfamily	2	2
IPR036968	Enolpyruvate transferase domain superfamily	2	2
IPR036972	Cytochrome c oxidase, subunit Vb superfamily	2	2
IPR036982	Deoxyhypusine synthase superfamily	2	2
IPR036987	SRA-YDG superfamily	2	2
IPR037047	PITH domain superfamily	2	2
IPR037099	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal domain superfamily	2	2
IPR037118	Valyl-tRNA synthetase, tRNA-binding arm superfamily	2	2
IPR037129	XPA domain superfamily	2	2
IPR037152	L-asparaginase, N-terminal domain superfamily	2	2
IPR037190	LIS1, N-terminal	2	2
IPR037200	Pre-mRNA-splicing factor Isy1 superfamily	2	2
IPR037202	ESCRT assembly domain	2	2
IPR037274	Zinc finger, CHY-type superfamily	2	2
IPR037275	Zinc finger, CTCHY-type superfamily	2	2
IPR037319	Rrp40, S1 domain	2	2
IPR037321	KIN17-like protein	2	2
IPR037379	WDR74/Nsa1	2	2
IPR037382	Remodelling complex subunit Rsc/polybromo	2	2
IPR037383	Coiled-coil domain-containing protein 87	2	2
IPR037431	RNA exonuclease 4, DEDDh 3'-5' exonuclease domain	2	2
IPR037590	GATOR2 complex protein WDR24	2	2
IPR037666	Coiled-coil domain-containing protein 43	2	2
IPR037696	Coiled-coil domain-containing protein 77	2	2
IPR037700	Nucleoporin NUP88/NUP82	2	2
IPR037730	Mitochondrial inner membrane protease subunit 2	2	2
IPR037800	Histone acetyltransferase GCN5	2	2
IPR037802	SAGA-associated factor 29	2	2
IPR037804	SAGA-associated factor 73	2	2
IPR037817	Transcription initiation factor TFIID subunit 7	2	2
IPR037847	GRAM domain-containing protein 4	2	2
IPR037855	Vacuolar protein sorting protein 36	2	2
IPR037867	COMPASS component Swd2/WDR82	2	2
IPR038097	Large ribosomal subunit protein eL36 domain superfamily	2	2
IPR038122	PFU domain superfamily	2	2
IPR038167	SSRP1 domain superfamily	2	2
IPR038169	DC-UbP/UBTD2, N-terminal domain superfamily	2	2
IPR038175	CBM21 domain superfamily	2	2
IPR038185	MyTH4 domain superfamily	2	2
IPR038192	Transcription termination and cleavage factor, C-terminal domain superfamily	2	2
IPR038212	Transcription factor EnY2 superfamily	2	2
IPR038217	MRG, C-terminal domain superfamily	2	2
IPR038238	Clp1, C-terminal domain superfamily	2	2
IPR038252	Ubiquitin-activating enzyme E1, C-terminal domain superfamily	2	2
IPR038254	DNA/RNA-binding protein KIN17, WH-like domain superfamily	2	2
IPR038275	Nuf2, N-terminal domain superfamily	2	2
IPR038286	Inositol polyphosphate kinase superfamily	2	2
IPR038291	SAP30, C-terminal domain superfamily	2	2
IPR038294	SLBP, RNA-binding domain superfamily	2	2
IPR038322	Pex19, C-terminal domain superfamily	2	2
IPR038330	TspO/MBR-related superfamily	2	2
IPR038336	NET domain superfamily	2	2
IPR038340	MRP-L47 superfamily, mitochondrial	2	2
IPR038356	Tma16 superfamily	2	2
IPR038363	LepA, C-terminal domain superfamily	2	2
IPR038377	Sodium/glucose symporter superfamily	2	2
IPR038397	TBCC, N-terminal domain superfamily	2	2
IPR038401	Rev1, C-terminal domain superfamily	2	2
IPR038422	Cut8/Sts1 superfamily	2	2
IPR038425	GAT domain superfamily	2	2
IPR038459	tRNA methyltransferase TRM10-type domain superfamily	2	2
IPR038464	Large ribosomal subunit protein eL38 superfamily	2	2
IPR038469	tRNAHis guanylyltransferase Thg1 superfamily	2	2
IPR038495	V-type ATPase subunit E, C-terminal domain superfamily	2	2
IPR038497	ATPase, V1 complex, subunit H, C-terminal domain superfamily	2	2
IPR038506	GLE1-like superfamily	2	2
IPR038526	Large ribosomal subunit protein eL22 superfamily	2	2
IPR038535	CCR4-NOT subunit 1, TTP binding domain superfamily	2	2
IPR038562	Large ribosomal subunit protein eL34, C-terminal domain superfamily	2	2
IPR038564	Repressor of RNA polymerase III transcription Maf1 superfamily	2	2
IPR038566	Mediator complex, subunit Med6 superfamily	2	2
IPR038567	Transcription elongation factor 1 superfamily	2	2
IPR038586	Tctex-1-like superfamily	2	2
IPR038655	Large ribosomal subunit protein eL27 superfamily	2	2
IPR038664	H/ACA RNP complex subunit Gar1/Naf1, Cbf5-binding domain	2	2
IPR038727	NadR/Ttd14, AAA domain	2	2
IPR038752	IQ domain-containing protein H	2	2
IPR038772	Sphingomyelinase C/Sphingomyelin phosphodiesterase 2-like	2	2
IPR038844	Cilia- and flagella-associated protein 157	2	2
IPR038881	Yae1-like	2	2
IPR038901	Hexosaminidase D-like	2	2
IPR038911	Sodium channel and clathrin linker 1	2	2
IPR038929	Coiled-coil domain-containing protein 13	2	2
IPR038983	C2 domain-containing protein 5	2	2
IPR039034	Inositol 3,4-bisphosphate 4-phosphatase	2	2
IPR039039	RAI1-like family	2	2
IPR039042	UDP-N-acetylglucosamine transferase subunit Alg13-like	2	2
IPR039044	tRNA:m(4)X modification enzyme Trm13	2	2
IPR039046	PDPK1 family	2	2
IPR039055	MCU family	2	2
IPR039100	Ribosome maturation protein Sdo1/SBDS-like	2	2
IPR039104	6-phosphogluconolactonase	2	2
IPR039109	Large ribosomal subunit protein eL30-like	2	2
IPR039110	KNL2-like	2	2
IPR039131	Complex I intermediate-associated protein 30, mitochondrial	2	2
IPR039135	N-acetyltransferase 9-like	2	2
IPR039164	E3 ubiquitin-protein ligase UBR1-like	2	2
IPR039189	CTD phosphatase Fcp1	2	2
IPR039191	Nopp140-like	2	2
IPR039207	Multiple myeloma tumor-associated protein 2-like	2	2
IPR039226	Ski3/TTC37	2	2
IPR039258	Zinc finger protein 511	2	2
IPR039294	Probable RNA-binding protein EIF1AD	2	2
IPR039298	Acyl-coenzyme A thioesterase 13	2	2
IPR039340	Transcription factor Tfc4/TFIIIC-102/Sfc4	2	2
IPR039355	Transcription factor GATA	2	2
IPR039356	5'-deoxynucleotidase YfbR/HDDC2	2	2
IPR039357	3-oxo-5-alpha-steroid 4-dehydrogenase/very-long-chain enoyl-CoA reductase	2	2
IPR039368	Acetolactate synthase large subunit, TPP binding domain	2	2
IPR039384	HINT family	2	2
IPR039397	RagA/B	2	2
IPR039431	Vta1/callose synthase, N-terminal	2	2
IPR039438	At2g23090-like, zinc-binding domain	2	2
IPR039462	Nucleoporin Nup159/Nup146, N-terminal	2	2
IPR039510	Vint domain	2	2
IPR039512	RCHY1, zinc-ribbon	2	2
IPR039542	Endoplasmic reticulum vesicle transporter, N-terminal	2	2
IPR039547	Large ribosomal subunit protein eL19	2	2
IPR039556	ICL/PEPM domain	2	2
IPR039577	E3 ubiquitin-protein ligase Rad18	2	2
IPR039603	Small ribosomal subunit protein mS41	2	2
IPR039637	CCR4-NOT transcription complex subunit 7/8/Pop2	2	2
IPR039652	Coatomer subunit zeta	2	2
IPR039670	Sterol transport protein NPC2-like	2	2
IPR039678	Beta-catenin-like protein 1	2	2
IPR039682	Exocyst complex component Sec8/EXOC4	2	2
IPR039683	Protein Lsm12-like	2	2
IPR039722	Nonsense-mediated mRNA decay protein 3	2	2
IPR039727	SERRATE/Ars2	2	2
IPR039730	Jlp2/Ccd25	2	2
IPR039731	CAAX prenyl protease 2, eukaryotes	2	2
IPR039739	RING-finger protein MAG2/RNF10	2	2
IPR039742	Protein Shq1	2	2
IPR039745	Vacuolar protein sorting-associated protein 54	2	2
IPR039753	mRNA cap guanine-N7 methyltransferase	2	2
IPR039763	Damage-control phosphatase ARMT1	2	2
IPR039767	RalA-binding protein 1	2	2
IPR039774	Transcriptional regulatory protein Sin3-like	2	2
IPR039776	Sister chromatid cohesion protein Pds5	2	2
IPR039780	CCR4-NOT transcription complex subunit 4	2	2
IPR039786	Protein EFR3	2	2
IPR039793	Uroporphyrinogen-III synthase	2	2
IPR039794	Glucosidase II beta subunit-like	2	2
IPR039796	MIP18 family	2	2
IPR039799	Sulfhydryl oxidase ALR/ERV	2	2
IPR039800	Calcium uptake protein 1/2/3	2	2
IPR039802	Myotubularin-related protein 14	2	2
IPR039845	PSME3-interacting protein	2	2
IPR039848	Small ribosomal subunit protein mS35, mitochondrial	2	2
IPR039852	Cullin-associated NEDD8-dissociated protein 1/2	2	2
IPR039856	ER membrane protein complex subunit 2-like	2	2
IPR039865	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma	2	2
IPR039866	Carboxypeptidase Q	2	2
IPR039867	Protein furry/Tao3/Mor2	2	2
IPR039869	Ubiquitin domain-containing protein 1/2	2	2
IPR039875	Leukocyte receptor cluster member 1-like	2	2
IPR039879	EF-hand calcium-binding domain-containing protein 10	2	2
IPR039892	Protein Spa2/Sph1	2	2
IPR039902	Coiled-coil domain-containing protein CCDC148/CCDC112	2	2
IPR039907	RNA-binding protein NOB1	2	2
IPR039918	Serine/threonine-protein phosphatase 4 regulatory subunit 4	2	2
IPR039927	Large ribosomal subunit protein mL43	2	2
IPR039941	Tetratricopeptide repeat protein 30	2	2
IPR039948	Elongin-C	2	2
IPR039959	Fimbrin/Plastin	2	2
IPR039971	Pre-mRNA-splicing factor CWC24-like	2	2
IPR039974	Pre-mRNA-splicing factor SLU7	2	2
IPR039979	Pre-mRNA-splicing factor 18	2	2
IPR039986	Cilia- and flagella- associated protein 210	2	2
IPR039997	Transcription factor E	2	2
IPR040008	Large ribosomal subunit protein mL46	2	2
IPR040016	Exportin-6	2	2
IPR040025	Zinc finger protein 622/Rei1/Reh1	2	2
IPR040038	TIPIN/Csm3/Swi3	2	2
IPR040048	Zinc finger protein 277	2	2
IPR040052	Splicing factor 45	2	2
IPR040059	Pumilio homologue 3	2	2
IPR040092	Transforming growth factor beta regulator 1	2	2
IPR040107	U4/U6.U5 small nuclear ribonucleoprotein component Snu23	2	2
IPR040111	Outer dynein arm-docking complex subunit 4	2	2
IPR040115	Lunapark family	2	2
IPR040125	Squalene monooxygenase	2	2
IPR040131	MnmG, N-terminal domain	2	2
IPR040141	ZPR1	2	2
IPR040144	Rap1 GTPase-GDP dissociation stimulator 1	2	2
IPR040151	Gfd2/YDR514C-like	2	2
IPR040159	Suppressor of hairless-like	2	2
IPR040165	Delta(24)-sterol reductase	2	2
IPR040177	Proton-coupled zinc antiporter SLC30A9	2	2
IPR040185	Far11/STRP	2	2
IPR040202	Nucleus export protein Brl1/Brr6	2	2
IPR040204	E3 ubiquitin-protein ligase UBR7	2	2
IPR040206	Protein Zds1/2	2	2
IPR040233	CCD97-like, C-terminal	2	2
IPR040324	WD repeat-containing protein WDR44/Dgr2	2	2
IPR040354	Tectonic-1-3	2	2
IPR040364	Tetratricopeptide repeat protein 21A/21B	2	2
IPR040369	LisH domain-containing protein ARMC9	2	2
IPR040379	WD repeat-containing protein 19/dyf-2	2	2
IPR040382	Nucleolar protein 10/Enp2	2	2
IPR040401	Coiled-coil domain-containing protein 162	2	2
IPR040450	TFIIF beta subunit, HTH domain	2	2
IPR040453	Mnd1, HTH domain	2	2
IPR040454	Transcription factor IIIC subunit Tfc1/Sfc1	2	2
IPR040456	Ribonuclease H2 subunit B	2	2
IPR040459	MJ1316 RNA cyclic group end recognition domain	2	2
IPR040464	Inositol 1,3,4-trisphosphate 5/6-kinase, ATP-grasp domain	2	2
IPR040466	NF-kappa-B-activating protein	2	2
IPR040468	TRAF3-interacting protein 1, N-terminal	2	2
IPR040504	TFIIF, beta subunit, N-terminal	2	2
IPR040554	Peroxisomal membrane protein PEX14-like, KPWE domain	2	2
IPR040557	VIP1, N-terminal	2	2
IPR040598	60S ribosome subunit biogenesis protein NIP7, pre-PUA domain	2	2
IPR040608	Snf8/Vps36 family	2	2
IPR040659	Phenylalanine--tRNA ligase beta subunit, B1 domain	2	2
IPR040662	Transcription factor Tfb2, C-terminal domain	2	2
IPR040686	Phosphoribosylaminoimidazole carboxylase, C-terminal domain	2	2
IPR040707	Phosphoribosylformylglycinamidine synthase, N-terminal	2	2
IPR040801	Ski2, N-terminal domain	2	2
IPR040815	Nas2, N-terminal	2	2
IPR040848	Midasin, AAA lid domain 7	2	2
IPR040850	Knl1, C-terminal RWD domain	2	2
IPR040855	Origin recognition complex subunit 3, winged helix C-terminal	2	2
IPR040961	Cop9 signalosome subunit 5 C-terminal domain	2	2
IPR041024	Mcm6, C-terminal winged-helix domain	2	2
IPR041048	RuvB-like, AAA-lid domain	2	2
IPR041054	Exosome complex exonuclease Rrp40, N-terminal domain, eukaryotes	2	2
IPR041063	Glycoside Hydrolase 20C, C-terminal	2	2
IPR041082	Suv3, C-terminal domain 1	2	2
IPR041084	Nicastrin, small lobe	2	2
IPR041150	Chromodomain helicase DNA-binding domain	2	2
IPR041178	RPA43, OB domain	2	2
IPR041212	Vta1, C-terminal	2	2
IPR041235	Exportin-1, repeat 2	2	2
IPR041243	STI1/HOP, DP domain	2	2
IPR041265	Propionyl-coenzyme A carboxylase, BT domain	2	2
IPR041373	Reverse transcriptase, RNase H-like domain	2	2
IPR041431	Mvd1, C-terminal	2	2
IPR041432	Ubiquitinyl hydrolase, variant UBP zinc finger	2	2
IPR041442	PIH1D1/2/3, CS-like domain	2	2
IPR041476	TRAF3-interacting protein 1, C-terminal domain	2	2
IPR041492	Haloacid dehalogenase-like hydrolase	2	2
IPR041499	Transcription factor IIIC subunit Tfc1/Sfc1, triple barrel domain	2	2
IPR041504	Adaptive response protein AidB, N-terminal	2	2
IPR041505	Dis3-like cold-shock domain 2	2	2
IPR041507	Peptidase C12, C-terminal domain	2	2
IPR041525	Nicotinate/nicotinamide phosphoribosyltransferase	2	2
IPR041653	Importin repeat 4	2	2
IPR041680	Pleckstrin homology domain 8	2	2
IPR041681	Pleckstrin homology domain 9	2	2
IPR041707	Pseudouridine synthase Pus3-like	2	2
IPR041708	Pseudouridine synthase PUS1/ PUS2-like	2	2
IPR041726	Acyl-CoA dehydrogenase family member 10/11, N-terminal	2	2
IPR041734	N-Acetyl-L-glutamate kinase, fungal-type	2	2
IPR041735	4-hydroxyphenylpyruvate dioxygenase, C-terminal	2	2
IPR041736	4-hydroxyphenylpyruvate dioxygenase, N-terminal	2	2
IPR041739	Glutamate-5-kinase domain	2	2
IPR041753	PP5, C-terminal metallophosphatase domain	2	2
IPR041898	MAGE homology domain, winged helix WH1 motif	2	2
IPR041899	MAGE homology domain, winged helix WH2 motif	2	2
IPR041921	NADH-quinone oxidoreductase subunit E, N-terminal	2	2
IPR041983	ADA2-like, zinc finger, ZZ-type	2	2
IPR042035	DEAH helicase, winged-helix domain	2	2
IPR042036	Ribosomal RNA-processing protein 8, N-terminal domain	2	2
IPR042045	Exocyst complex component EXOC6/Sec15, C-terminal, domain 1	2	2
IPR042128	NuoE domain	2	2
IPR042171	Acyl-CoA thioesterase, double hotdog domain	2	2
IPR042184	YqeY/Aim41, N-terminal domain	2	2
IPR042266	PPPDE peptidase domain superfamily	2	2
IPR042272	ATP12, ATP synthase F1-assembly protein, N-terminal	2	2
IPR042296	tRNA methyltransferase, Trm1, C-terminal	2	2
IPR042302	Ubiquitin-activating enzyme E1, FCCH domain superfamily	2	2
IPR042455	Dedicator of cytokinesis, N-terminal, subdomain 1	2	2
IPR042467	Peptidase C65, otubain, subdomain 2	2	2
IPR042470	RecQ mediated genome instability protein, N-terminal OB-fold domain superfamily	2	2
IPR042488	Rad4, beta-hairpin domain 3 superfamily	2	2
IPR042489	F-actin capping protein, alpha subunit, domain 1	2	2
IPR042491	Vacuolar protein sorting-associated protein 35, C-terminal	2	2
IPR042522	Ubiquitin-like modifier-activating enzyme Atg7, N-terminal, subdomain 1	2	2
